Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Year
Boston Celtics*,61,21,.744,—,113.5,105.7,7.37,,1980
Philadelphia 76ers*,59,23,.720,2.0,109.1,104.9,4.04,,1980
Washington Bullets*,39,43,.476,22.0,107.0,109.5,-2.27,,1980
New York Knicks,39,43,.476,22.0,114.0,115.1,-0.96,,1980
New Jersey Nets,34,48,.415,27.0,108.3,109.5,-0.98,,1980
Atlanta Hawks*,50,32,.610,—,104.5,101.6,2.83,,1980
Houston Rockets*,41,41,.500,9.0,110.8,110.6,0.27,,1980
San Antonio Spurs*,41,41,.500,9.0,119.4,119.7,-0.24,,1980
Indiana Pacers,37,45,.451,13.0,111.2,111.9,-0.54,,1980
Cleveland Cavaliers,37,45,.451,13.0,114.1,113.8,0.43,,1980
Detroit Pistons,16,66,.195,34.0,108.9,117.2,-7.57,,1980
,49,33,.598,—,110.1,106.1,3.57,Milwaukee Bucks*,1980
,47,35,.573,2.0,108.0,104.9,2.82,Kansas City Kings*,1980
,30,52,.366,19.0,108.3,112.7,-4.22,Denver Nuggets,1980
,30,52,.366,19.0,107.5,110.2,-2.63,Chicago Bulls,1980
,24,58,.293,25.0,102.4,108.4,-5.71,Utah Jazz,1980
,60,22,.732,—,115.1,109.2,5.40,Los Angeles Lakers*,1980
,56,26,.683,4.0,108.5,103.8,4.24,Seattle SuperSonics*,1980
,55,27,.671,5.0,111.1,107.5,3.25,Phoenix Suns*,1980
,38,44,.463,22.0,102.5,103.3,-0.87,Portland Trail Blazers*,1980
,35,47,.427,25.0,107.6,111.7,-3.97,San Diego Clippers,1980
,24,58,.293,36.0,103.6,108.0,-4.20,Golden State Warriors,1980
Boston Celtics*,62,20,.756,—,109.9,104.0,6.05,,1981
Philadelphia 76ers*,62,20,.756,—,111.7,103.8,7.76,,1981
New York Knicks*,50,32,.610,12.0,107.9,106.3,2.00,,1981
Washington Bullets,39,43,.476,23.0,105.6,105.6,0.42,,1981
New Jersey Nets,24,58,.293,38.0,106.9,113.0,-5.15,,1981
Milwaukee Bucks*,60,22,.732,—,113.1,105.9,7.14,,1981
Chicago Bulls*,45,37,.549,15.0,109.0,107.0,2.34,,1981
Indiana Pacers*,44,38,.537,16.0,107.6,106.2,1.72,,1981
Atlanta Hawks,31,51,.378,29.0,104.9,108.0,-2.37,,1981
Cleveland Cavaliers,28,54,.341,32.0,105.7,110.6,-4.15,,1981
Detroit Pistons,21,61,.256,39.0,99.7,106.0,-5.58,,1981
,52,30,.634,—,112.3,109.4,2.18,San Antonio Spurs*,1981
,40,42,.488,12.0,106.9,106.9,-0.49,Kansas City Kings*,1981
,40,42,.488,12.0,108.3,107.9,-0.20,Houston Rockets*,1981
,37,45,.451,15.0,121.8,122.3,-0.95,Denver Nuggets,1981
,28,54,.341,24.0,101.2,107.1,-5.99,Utah Jazz,1981
,15,67,.183,37.0,101.5,109.9,-8.33,Dallas Mavericks,1981
,57,25,.695,—,110.0,104.5,4.83,Phoenix Suns*,1981
,54,28,.659,3.0,111.2,107.3,3.27,Los Angeles Lakers*,1981
,45,37,.549,12.0,110.7,109.8,0.52,Portland Trail Blazers*,1981
,39,43,.476,18.0,109.8,111.0,-1.41,Golden State Warriors,1981
,36,46,.439,21.0,106.5,108.1,-1.78,San Diego Clippers,1981
,34,48,.415,23.0,104.0,105.7,-1.84,Seattle SuperSonics,1981
Boston Celtics*,63,19,.768,—,112.0,105.6,6.35,,1982
Philadelphia 76ers*,58,24,.707,5.0,111.2,105.5,5.74,,1982
New Jersey Nets*,44,38,.537,19.0,106.7,106.0,0.87,,1982
Washington Bullets*,43,39,.524,20.0,103.5,102.6,1.06,,1982
New York Knicks,33,49,.402,30.0,106.2,108.9,-2.15,,1982
Milwaukee Bucks*,55,27,.671,—,108.4,102.9,5.38,,1982
Atlanta Hawks*,42,40,.512,13.0,101.0,100.5,0.81,,1982
Detroit Pistons,39,43,.476,16.0,111.1,112.0,-0.63,,1982
Indiana Pacers,35,47,.427,20.0,102.2,104.0,-1.49,,1982
Chicago Bulls,34,48,.415,21.0,106.6,108.6,-1.57,,1982
Cleveland Cavaliers,15,67,.183,40.0,103.2,111.7,-7.77,,1982
,48,34,.585,—,113.1,110.8,1.79,San Antonio Spurs*,1982
